Phi [lgM☉⁻¹Mpc⁻³],sigma_Phi [lgM☉⁻¹Mpc⁻³],Mbh [M☉],sigma_Mbh,colour,face colour,shape,label,ADSABS,data
-1.8961962790440432,0.2562492347352067,316227.7660168379,0.5,#ff0000,#ff0000,h,Fei+2026,https://ui.adsabs.harvard.edu/abs/2026ApJ...1003..244F/abstract,
-3.193820026016113,0.21220745210182973,1778279.410038923,0.25,#ff0000,#ff0000,h,Fei+2026,https://ui.adsabs.harvard.edu/abs/2026ApJ...1003..244F/abstract,
-3.3010299956639813,0.23856062735983122,5623413.251903491,0.25,#ff0000,#ff0000,h,Fei+2026,https://ui.adsabs.harvard.edu/abs/2026ApJ...1003..244F/abstract,
-3.744727494896694,0.3086499789423497,17782794.100389227,0.25,#ff0000,#ff0000,h,Fei+2026,https://ui.adsabs.harvard.edu/abs/2026ApJ...1003..244F/abstract,
-2.3516399890190685,0.25650041290086556,316227.7660168379,0.5,#ff0000,none,h,Fei+2026 (w/o correction),https://ui.adsabs.harvard.edu/abs/2026ApJ...1003..244F/abstract,
-3.657577319177794,0.21298436613614058,1778279.410038923,0.25,#ff0000,none,h,Fei+2026 (w/o correction),https://ui.adsabs.harvard.edu/abs/2026ApJ...1003..244F/abstract,
-3.769551078621726,0.25594168048943716,5623413.251903491,0.25,#ff0000,none,h,Fei+2026 (w/o correction),https://ui.adsabs.harvard.edu/abs/2026ApJ...1003..244F/abstract,
-4.221848749616356,0.34948500216800943,17782794.100389227,0.25,#ff0000,none,h,Fei+2026 (w/o correction),https://ui.adsabs.harvard.edu/abs/2026ApJ...1003..244F/abstract,
-4.86,0.28500000000000003,12589254.117941663,0.2,#ffa500,none,s,Matthee+2024,https://ui.adsabs.harvard.edu/abs/2024ApJ...963..129M/abstract,
-4.27,0.13,31622776.60168379,0.2,#ffa500,#ffa500,s,Matthee+2024,https://ui.adsabs.harvard.edu/abs/2024ApJ...963..129M/abstract,
-5.05,0.24,125892541.17941661,0.4,#ffa500,#ffa500,s,Matthee+2024,https://ui.adsabs.harvard.edu/abs/2024ApJ...963..129M/abstract,
-3.58838029403677,0.2109153858668239,1778279.410038923,0.25,#0000ff,none,o,Taylor+2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...986..165T/abstract,
-3.5590909179347823,0.11054237410060981,5623413.251903491,0.25,#0000ff,#0000ff,o,Taylor+2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...986..165T/abstract,
-3.9469215565165805,0.10746968674509985,17782794.100389227,0.25,#0000ff,#0000ff,o,Taylor+2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...986..165T/abstract,
-4.442492798094342,0.14923890851245458,56234132.51903491,0.25,#0000ff,#0000ff,o,Taylor+2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...986..165T/abstract,
-5.115204636051019,0.31860186360459297,177827941.00389227,0.25,#0000ff,#0000ff,o,Taylor+2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...986..165T/abstract,
-5.915781313260761,0.3911696360279784,31622776.60168379,0.15,#808080,#808080,^,He+2024,https://ui.adsabs.harvard.edu/abs/2024ApJ...962..152H/abstract,
-6.0034883278458215,0.32129676888252484,63095734.448019296,0.15,#808080,#808080,^,He+2024,https://ui.adsabs.harvard.edu/abs/2024ApJ...962..152H/abstract,
-5.94692155651658,0.17581375455663356,125892541.17941661,0.15,#808080,#808080,^,He+2024,https://ui.adsabs.harvard.edu/abs/2024ApJ...962..152H/abstract,
-5.856985199745905,0.11778398746952955,251188643.1509582,0.15,#808080,#808080,^,He+2024,https://ui.adsabs.harvard.edu/abs/2024ApJ...962..152H/abstract,
-6.097453220686009,0.16327993213849873,501187233.6272715,0.15,#808080,#808080,^,He+2024,https://ui.adsabs.harvard.edu/abs/2024ApJ...962..152H/abstract,
-2.706031432659352,,15848.93192461114,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.706494435369202,,15992.631605727202,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7084835968394914,,16137.634188417393,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7104727583097805,,16283.95148587781,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7124619197800706,,16431.5954184129,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.71366222646155,,16580.57801440648,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.71366222646155,,16730.911411301844,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.71366222646155,,16882.607856590483,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.71366222646155,,17035.67970880989,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7147769333293192,,17190.13943855041,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7167660947996084,,17345.99962947119,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.718755256269898,,17503.27297932536,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.720744417740188,,17661.972300994552,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7212930202637486,,17822.110523532592,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7212930202637486,,17983.700693219038,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7212930202637486,,18146.755974621898,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7212930202637486,,18311.289651670177,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.724825842315125,,18477.315128736096,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
