Phi [lgM☉⁻¹Mpc⁻³],sigma_Phi_low [lgM☉⁻¹Mpc⁻³],sigma_Phi_high [lgM☉⁻¹Mpc⁻³],Mbh [M☉],sigma_Mbh_low,sigma_Mbh_high,shape,label,z_low,z_high,ADSABS,data
-1.89619627904404,0.327829389826588,0.184669079643826,316227.766016838,0.5,0.5,h,Fei+2026,4.5,7,https://ui.adsabs.harvard.edu/abs/2026ApJ...1003..244F/abstract,https://iopscience.iop.org/0004-637X/1003/2/244/suppdata/apjae6248t4_ascii.txt?doi=10.3847/1538-4357/ae6248
-3.19382002601611,0.262111929633612,0.162302974570048,1778279.41003892,0.25,0.25,h,Fei+2026,4.5,7,https://ui.adsabs.harvard.edu/abs/2026ApJ...1003..244F/abstract,https://iopscience.iop.org/0004-637X/1003/2/244/suppdata/apjae6248t4_ascii.txt?doi=10.3847/1538-4357/ae6248
-3.30102999566398,0.301029995663981,0.176091259055681,5623413.25190349,0.25,0.25,h,Fei+2026,4.5,7,https://ui.adsabs.harvard.edu/abs/2026ApJ...1003..244F/abstract,https://iopscience.iop.org/0004-637X/1003/2/244/suppdata/apjae6248t4_ascii.txt?doi=10.3847/1538-4357/ae6248
-3.74472749489669,0.410174465089049,0.20712549279565,17782794.1003892,0.25,0.25,h,Fei+2026,4.5,7,https://ui.adsabs.harvard.edu/abs/2026ApJ...1003..244F/abstract,https://iopscience.iop.org/0004-637X/1003/2/244/suppdata/apjae6248t4_ascii.txt?doi=10.3847/1538-4357/ae6248
-4.27,0.15,0.11,31622776.6016838,0.2,0.2,s,Matthee+2024,4.2,5.5,https://ui.adsabs.harvard.edu/abs/2024ApJ...963..129M/abstract,https://iopscience.iop.org/0004-637X/963/2/129/suppdata/apjad2345t6_ascii.txt?doi=10.3847/1538-4357/ad2345
-5.05,0.3,0.18,125892541.179417,0.4,0.4,s,Matthee+2024,4.2,5.5,https://ui.adsabs.harvard.edu/abs/2024ApJ...963..129M/abstract,https://iopscience.iop.org/0004-637X/963/2/129/suppdata/apjad2345t6_ascii.txt?doi=10.3847/1538-4357/ad2345
-5.91578131326076,0.547660244167709,0.234679027888248,31622776.6016838,0.15,0.15,^,He+2024,3.5,4.25,https://ui.adsabs.harvard.edu/abs/2024ApJ...962..152H/abstract,https://iopscience.iop.org/0004-637X/962/2/152/suppdata/apjad1518t8_ascii.txt?doi=10.3847/1538-4357/ad1518
-6.00348832784582,0.430663853480661,0.211929684284389,63095734.4480193,0.15,0.15,^,He+2024,3.5,4.25,https://ui.adsabs.harvard.edu/abs/2024ApJ...962..152H/abstract,https://iopscience.iop.org/0004-637X/962/2/152/suppdata/apjad1518t8_ascii.txt?doi=10.3847/1538-4357/ad1518
-5.94692155651658,0.210469203872858,0.14115830524041,125892541.179417,0.15,0.15,^,He+2024,3.5,4.25,https://ui.adsabs.harvard.edu/abs/2024ApJ...962..152H/abstract,https://iopscience.iop.org/0004-637X/962/2/152/suppdata/apjad1518t8_ascii.txt?doi=10.3847/1538-4357/ad1518
-5.85604888357604,0.13322725103219,0.101808239543313,251188643.150958,0.15,0.15,^,He+2024,3.5,4.25,https://ui.adsabs.harvard.edu/abs/2024ApJ...962..152H/abstract,https://iopscience.iop.org/0004-637X/962/2/152/suppdata/apjad1518t8_ascii.txt?doi=10.3847/1538-4357/ad1518
