curve_id,curve_label,curve_role,redshift,log10_mbh_seed_msun,phi_mpc3_dex1,colour,linestyle,source
all_seeds_central,All seeds,all_seeds_central,20.0,0.2813115637,4.6029599686e-06,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,0.2813115637,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,0.2813115637,4.6029599686e-06,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,0.3437939656,1.1805960874e-05,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,0.3437939656,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,0.3437939656,1.1805960874e-05,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,0.4062763849,1.8920286433e-05,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,0.4062763849,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,0.4062763849,1.8920286433e-05,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,0.4687587869,2.7261542299e-05,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,0.4687587869,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,0.4687587869,2.7261542299e-05,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,0.5312412062,4.4647186244e-05,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,0.5312412062,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,0.5312412062,4.4647186244e-05,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,0.5937236081,7.7982178844e-05,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,0.5937236081,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,0.5937236081,7.7982178844e-05,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,0.6562060101,1.2354318227e-04,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,0.6562060101,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,0.6562060101,1.2354318227e-04,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,0.7186884294,1.9665376217e-04,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,0.7186884294,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,0.7186884294,1.9665376217e-04,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,0.7813115689,2.9651212341e-04,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,0.7813115689,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,0.7813115689,2.9651212341e-04,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,0.8437939708,4.2176800215e-04,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,0.8437939708,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,0.8437939708,4.2176800215e-04,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,0.9062763901,5.5835446855e-04,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,0.9062763901,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,0.9062763901,5.5835446855e-04,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,0.9687587921,7.8087932069e-04,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,0.9687587921,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,0.9687587921,7.8087932069e-04,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,1.0312411940,1.2582432941e-03,#000000,-,Chen+2026 Fig.5a vector path 1261
