curve_id,curve_label,curve_role,panel,quantity,x_log10_1pz,redshift,value_mpc3,colour,linestyle,source
all_seeds_a,All seeds,all_seeds,a,rate,0.8412282542,5.9379034888,1.1220861236e-05,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,0.8601621816,6.2470654179,2.7066079036e-05,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,0.8889730849,6.7441380262,6.4815896000e-05,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,0.9095523006,7.1199302864,1.2890422841e-04,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,0.9249798975,7.4135619634,2.1213425960e-04,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,0.9445505977,7.8013764657,4.8641718909e-04,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,0.9651025539,8.2278930811,1.0874430063e-03,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,0.9877533229,8.7219486514,2.0447199487e-03,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.0083325386,9.1937162057,3.0739010388e-03,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.0289117543,9.6883767657,4.7139961087e-03,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.0597669515,10.4753767137,1.0078709230e-02,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.0872149900,11.2240464065,1.8244479596e-02,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.1047141402,11.7266511597,2.5589809999e-02,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.1255114146,12.3509267954,4.0225826046e-02,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.1493342424,13.1037383492,7.2291715757e-02,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.1719032364,13.8560460318,1.2613573531e-01,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.1933546838,14.6082669352,2.0682844104e-01,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.2149969339,15.4057819088,3.3873382123e-01,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.2367482117,16.2483760352,5.5175923658e-01,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.2574637146,17.0910475279,8.5127152879e-01,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.2772524702,17.9344402221,1.2283264260e+00,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
all_seeds_a,All seeds,all_seeds,a,rate,1.2961689940,18.7773907430,1.6797661835e+00,#000000,-,Chen+2026 Fig.6a vector path 985; page-10 first-column trace
