curve,r_pc,v_km_s,log10_mass_reference,chi2_reduced,source_kind,source_note
point_mass_keplerian,-1.0,-155.51782627481728,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.0203445720939386,-153.9595907814379,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.0411030458015629,-152.41696827539886,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.0622838417740919,-150.88980231990053,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.0838955519772908,-149.37793804558652,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.1059469431767923,-147.88122213483854,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.1284469604943237,-146.39950280622844,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.1514047310362865,-144.9326297991261,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.1748295675961562,-143.48045435846163,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.198730972432207,-142.0428292196401,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.2231186411220911,-140.61960859360755,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.2480024664958398,-139.21064815206645,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.2733925426488777,-137.81580501283963,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.2992991690366817,-136.43493772538042,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.325732854652743,-135.0679062564284,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.352704322291529,-133.71457197580844,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.3802245128981714,-132.37479764237258,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.4083045900066495,-131.04844739008217,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.4369559442682645,-129.73538671422992,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.4661901980722438,-128.43548245779968,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.496019210260351,-127.1486027979632,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.5264550809374098,-125.87461723271186,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.5575101563796998,-124.61339656762263,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.5891970340432084,-123.36481290275647,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.6215285676737738,-122.12873961968802,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-1.654517872521194,-120.90505136866531,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
