Mbh [M☉],Mstar [M☉],z,label,ADSABS
5.011872336e+08,3.801893964e+10,4.6582,Carnall+2023(Halpha),https://arxiv.org/abs/2301.11413
7.943282347e+08,3.801893964e+10,4.6582,Carnall+2023(sigma),https://arxiv.org/abs/2301.11413
1.36e+09,1.3e+11,6.4,Ding+2023(J2236-corrected),https://arxiv.org/abs/2211.14329
1.54e+09,1.3e+11,6.4,Ding+2023(J2236-uncorrected),https://arxiv.org/abs/2211.14329
1.97e+08,3.4e+10,6.4,Ding+2023(J2255-corrected),https://arxiv.org/abs/2211.14329
2.02e+08,3.4e+10,6.4,Ding+2023(J2255-uncorrected),https://arxiv.org/abs/2211.14329
5.5e+07,1.380384264e+08,10.073,Goulding+2023,https://arxiv.org/abs/2308.02750
9.995395890e+07,4.070052394e+09,5.4755,Harikane+2023,https://arxiv.org/abs/2303.11946
4.201457744e+07,1.146304507e+09,5.4755,Harikane+2023,https://arxiv.org/abs/2303.11946
3.670286785e+07,2.235115653e+09,5.4755,Harikane+2023,https://arxiv.org/abs/2303.11946
2.817085317e+07,4.260886836e+08,5.4755,Harikane+2023,https://arxiv.org/abs/2303.11946
2.032825032e+07,8.439175140e+08,5.4755,Harikane+2023,https://arxiv.org/abs/2303.11946
1.710015315e+07,8.309980410e+09,5.4755,Harikane+2023,https://arxiv.org/abs/2303.11946
1.013211242e+07,2.288231712e+09,5.4755,Harikane+2023,https://arxiv.org/abs/2303.11946
4.009590312e+06,1.257766432e+09,5.4755,Harikane+2023,https://arxiv.org/abs/2303.11946
2.405470305e+06,6.603892575e+08,5.4755,Harikane+2023,https://arxiv.org/abs/2303.11946
2.238721139e+07,2.570395783e+08,3.55,Ivey+2026,https://arxiv.org/abs/2604.09177
2.089296131e+06,2.570395783e+08,3.55,Ivey+2026,https://arxiv.org/abs/2604.09177
3.119607818e+08,1.546322232e+09,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
5.725323094e+07,5.083935125e+09,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
4.803966829e+07,8.491804750e+10,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
4.707604833e+07,5.520774393e+10,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
3.096706174e+07,5.718735365e+09,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
2.798336905e+07,7.737488205e+08,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
2.580477044e+07,2.553289152e+08,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
2.135993860e+07,2.387811283e+10,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
1.767665151e+07,9.571940713e+08,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
1.608421982e+07,1.025651926e+11,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
1.576158905e+07,2.710191632e+09,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
1.331373781e+07,8.863392873e+08,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
1.219270314e+07,1.877154418e+08,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
1.186861385e+07,2.695876544e+08,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
1.101792978e+07,9.658284632e+08,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
1.029911719e+07,3.350425767e+08,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
8.410077541e+06,1.483542526e+08,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
6.867521061e+06,3.322767852e+09,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
5.607896634e+06,1.995262315e+10,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
5.171303179e+06,6.972684264e+08,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
4.165815197e+06,2.249572529e+08,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
2.854302514e+06,1.406371316e+09,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
2.685962840e+06,3.048596874e+09,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
1.942227057e+06,6.002055404e+07,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
1.533204199e+06,3.396252726e+08,5.0,Juodzbalis+2025,https://arxiv.org/abs/2504.03551
5.011872336e+07,2.0e+07,7.04,Juodzbalis+2026,https://arxiv.org/abs/2508.21748
1.479108388e+08,1.995262315e+08,8.502,Kokorev+2023,https://arxiv.org/abs/2308.11610
1.4e+06,8.0e+08,10.603,Maiolino+2024(line-width-1),https://arxiv.org/abs/2305.12492
1.6e+06,8.0e+08,10.603,Maiolino+2024(line-width-2),https://arxiv.org/abs/2305.12492
6.990367368e+09,1.986094917e+10,6.0,Stone+2024,https://arxiv.org/abs/2310.18395
2.507263625e+09,2.494594727e+10,6.0,Stone+2024,https://arxiv.org/abs/2310.18395
1.990673339e+09,2.228435149e+10,6.0,Stone+2024,https://arxiv.org/abs/2310.18395
1.547747104e+09,9.765624025e+09,6.0,Stone+2024,https://arxiv.org/abs/2310.18395
6.325574864e+08,1.258925412e+10,6.0,Stone+2024,https://arxiv.org/abs/2310.18395
1.584893192e+08,3.311311215e+09,5.55,Ubler+2023,https://arxiv.org/abs/2302.06647
7.407983392e+09,5.470159629e+10,6.5,Yue+2024,https://arxiv.org/abs/2309.04614
1.235093966e+09,1.428893959e+10,6.5,Yue+2024,https://arxiv.org/abs/2309.04614
1.133182868e+09,6.486344335e+09,6.5,Yue+2024,https://arxiv.org/abs/2309.04614
