# FSPS UV calibration for High-z SMBH Seeds plotting.
# Generated from python-fsps 0.4.7 with temporary SPS_HOME=/tmp/fsps-3.2 during implementation.
# FSPS setup: MIST isochrones, MILES stellar library, Chabrier IMF (imf_type=1), simple stellar population (sfh=0).
# Pure stellar continuum only: no dust attenuation, no dust emission, no nebular emission/continuum, no IGM absorption, no XRB emission.
# M1500_AB_per_Msun is rest-frame 1500 Angstrom absolute AB magnitude per initially formed solar mass, not per surviving stellar mass.
# feh is treated exactly as log10(Z/Zsun); z_ratio = 10**feh. No alpha-enhancement or solar-abundance correction is applied.
# age_grid: 80 points uniform in log10(age_gyr), min=1.0000000000e-04 Gyr, max=0.7643904854974003 Gyr = Redshift2CosmicAge(7.0).
# feh_grid: 81 points uniform from -2.5 to 0.5 dex, matching the native FSPS/MIST metallicity interval used here.
# FSPS native MIST log10(Z/Zsun) grid spans -2.5 to 0.5. Runtime values outside this interval should be clipped with explicit diagnostics.
# 1500 Angstrom luminosity obtained by linear interpolation between FSPS wavelength bins 1495 and 1505 Angstrom.
age_gyr,log10_age_gyr,feh,z_ratio,M1500_AB_per_Msun
1.0000000000e-04,-4.0000000000e+00,-2.5000000000e+00,3.1622776602e-03,-5.5847476671e-01
1.0000000000e-04,-4.0000000000e+00,-2.4625000000e+00,3.4474660657e-03,-5.4146193105e-01
1.0000000000e-04,-4.0000000000e+00,-2.4250000000e+00,3.7583740429e-03,-5.2417826377e-01
1.0000000000e-04,-4.0000000000e+00,-2.3875000000e+00,4.0973210981e-03,-5.0661500365e-01
1.0000000000e-04,-4.0000000000e+00,-2.3500000000e+00,4.4668359215e-03,-4.8876295598e-01
1.0000000000e-04,-4.0000000000e+00,-2.3125000000e+00,4.8696752517e-03,-4.7061246486e-01
1.0000000000e-04,-4.0000000000e+00,-2.2750000000e+00,5.3088444423e-03,-4.5215338188e-01
1.0000000000e-04,-4.0000000000e+00,-2.2375000000e+00,5.7876198835e-03,-4.3337503202e-01
1.0000000000e-04,-4.0000000000e+00,-2.2000000000e+00,6.3095734448e-03,-4.1426617658e-01
1.0000000000e-04,-4.0000000000e+00,-2.1625000000e+00,6.8785991231e-03,-3.9481497278e-01
1.0000000000e-04,-4.0000000000e+00,-2.1250000000e+00,7.4989420933e-03,-3.7500892968e-01
1.0000000000e-04,-4.0000000000e+00,-2.0875000000e+00,8.1752303794e-03,-3.5483486000e-01
1.0000000000e-04,-4.0000000000e+00,-2.0500000000e+00,8.9125093813e-03,-3.3427882738e-01
1.0000000000e-04,-4.0000000000e+00,-2.0125000000e+00,9.7162795158e-03,-3.1332608855e-01
1.0000000000e-04,-4.0000000000e+00,-1.9750000000e+00,1.0592537252e-02,-3.1866317501e-01
1.0000000000e-04,-4.0000000000e+00,-1.9375000000e+00,1.1547819847e-02,-3.3701935559e-01
1.0000000000e-04,-4.0000000000e+00,-1.9000000000e+00,1.2589254118e-02,-3.5507034692e-01
1.0000000000e-04,-4.0000000000e+00,-1.8625000000e+00,1.3724609610e-02,-3.7282613139e-01
1.0000000000e-04,-4.0000000000e+00,-1.8250000000e+00,1.4962356561e-02,-3.9029620950e-01
1.0000000000e-04,-4.0000000000e+00,-1.7875000000e+00,1.6311729092e-02,-4.0748963037e-01
1.0000000000e-04,-4.0000000000e+00,-1.7500000000e+00,1.7782794100e-02,-4.2441501989e-01
1.0000000000e-04,-4.0000000000e+00,-1.7125000000e+00,1.9386526360e-02,-4.2463312885e-01
1.0000000000e-04,-4.0000000000e+00,-1.6750000000e+00,2.1134890398e-02,-4.2485119276e-01
1.0000000000e-04,-4.0000000000e+00,-1.6375000000e+00,2.3040929761e-02,-4.2506921287e-01
1.0000000000e-04,-4.0000000000e+00,-1.6000000000e+00,2.5118864315e-02,-4.2528718922e-01
1.0000000000e-04,-4.0000000000e+00,-1.5625000000e+00,2.7384196343e-02,-4.2550512181e-01
1.0000000000e-04,-4.0000000000e+00,-1.5250000000e+00,2.9853826189e-02,-4.2572301067e-01
1.0000000000e-04,-4.0000000000e+00,-1.4875000000e+00,3.2546178350e-02,-4.2753851868e-01
1.0000000000e-04,-4.0000000000e+00,-1.4500000000e+00,3.5481338923e-02,-4.3253397699e-01
1.0000000000e-04,-4.0000000000e+00,-1.4125000000e+00,3.8681205463e-02,-4.3750655649e-01
1.0000000000e-04,-4.0000000000e+00,-1.3750000000e+00,4.2169650343e-02,-4.4245646578e-01
1.0000000000e-04,-4.0000000000e+00,-1.3375000000e+00,4.5972698853e-02,-4.4738391064e-01
1.0000000000e-04,-4.0000000000e+00,-1.3000000000e+00,5.0118723363e-02,-4.5228909405e-01
1.0000000000e-04,-4.0000000000e+00,-1.2625000000e+00,5.4638654988e-02,-4.5717221626e-01
1.0000000000e-04,-4.0000000000e+00,-1.2250000000e+00,5.9566214353e-02,-4.6184397824e-01
1.0000000000e-04,-4.0000000000e+00,-1.1875000000e+00,6.4938163158e-02,-4.6640136885e-01
